,austingw.LAT_DD_WGS84,austingw.LON_DD_WGS84,austingw.PARAMETER,austingw.RESULT,austingw.SAMPLE_DATE,austingw.SITE_NAME,austingw.SITE_TYPE,austingw.WATERSHED,austingw.UNIT,header
3914,30.30338848,-97.88887425,Conductivity (uS/cm),742,11/22/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,uS/cm,TRUE
3915,30.30338848,-97.88887425,Water temperature (Deg. Celsius),23.3,11/22/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,Deg. Celsius,TRUE
3916,30.30338848,-97.88887425,pH (Standard units),7.19,11/22/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,Standard units,TRUE
3917,30.30338848,-97.88887425,Turbidity (NTU),0.29,11/22/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,NTU,TRUE
3957,30.30338848,-97.88887425,Ammonia as N (mg/L),0.02,12/14/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,MG/L,TRUE
3960,30.30338848,-97.88887425,Conductivity (uS/cm),724,12/14/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,uS/cm,TRUE
3961,30.30338848,-97.88887425,Water temperature (Deg. Celsius),21.3,12/14/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,Deg. Celsius,TRUE
3962,30.30338848,-97.88887425,pH (Standard units),6.82,12/14/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,Standard units,TRUE
3963,30.30338848,-97.88887425,Turbidity (NTU),1.04,12/14/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,NTU,TRUE
3986,30.30338848,-97.88887425,Ammonia as N (mg/L),0.02,1/25/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,MG/L,TRUE
3989,30.30338848,-97.88887425,Flow (Cubic feet per second),0.0135,1/25/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,Cubic Feet Per Second,TRUE
3990,30.30338848,-97.88887425,Conductivity (uS/cm),1091,1/25/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,uS/cm,TRUE
3991,30.30338848,-97.88887425,Water temperature (Deg. Celsius),19.5,1/25/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,Deg. Celsius,TRUE
3992,30.30338848,-97.88887425,pH (Standard units),6.72,1/25/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,Standard units,TRUE
3993,30.30338848,-97.88887425,Turbidity (NTU),0.49,1/25/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,NTU,TRUE
